bit_high,gold_high
11175.23,1283.2
11851.09,1274.7
11624.63,1276.8
11901.87,1282.2
13843.2,1299.3
16879.26,1302.8
17294.85,1300.4
16313.18,1306.4
15783.2,1307.3
17399.18,1312.2
17560.65,1291.1
17267.96,1296.7
16941.08,1301.1
17987.03,1309.7
19587.7,1306.7
19870.62,1305.5
19221.1,1312
19021.97,1299.8
17813.6,1303.8
17301.83,1305.1
15823.72,1301.9
15493.23,1305.8
14413.72,1305.4
14467.43,1296.3
16094.67,1271.2
16514.59,1267.7
15505.51,1265.8
15109.81,1262.9
14461.46,1280.2
14241.82,1275.5
13921.53,1276.7
15306.13,1280.7
15435.01,1264.4
15408.66,1270
17126.95,1260
17252.85,1271.8
17184.81,1278.2
16302.92,1277.4
15390.28,1274.3
14919.49,1284.4
14979.96,1281.5
14129.08,1275.7
14595.04,1278.4
14415.67,1273.8
14355.82,1281
13648.84,1271
11736.3,1274.4
12018.43,1271.6
11780.49,1272.1
13031.04,1275.7
12787.35,1271.9
11913.74,1270.2
11388.52,1209.6
11531.6,1206.6
11741.92,1277.7
11656.54,1276.1
11638.69,1283.3
12064.19,1286.4
11860.29,1288
11263.7,1285
10377.96,1265.2
10280.84,1280.2
9147.93,1272.9
9504.37,1266
9400.99,1258.1
8391.29,1258
7932.38,1265.8
8572.68,1273.4
8643.94,1274.1
8743.2,1294.6
9081.49,1295.8
8573.35,1296.8
8997.34,1294.2
8955.15,1305
9508.22,1298.4
10223.58,1308
10303.14,1304
11119.45,1309.8
11288.34,1309.1
11265.96,1309
11802.23,1311.5
11295.58,1316.7
10941.57,1310.8
10420.67,1307.6
10528,1316.8
9873.79,1302
10457.51,1315
10879.38,1320
11067.76,1327.5
11090.3,1327
11191.94,1335.2
11530.66,1333.1
11539.79,1344.9
11694.15,1348.8
11441.65,1344.6
10913.7,1347.4
10119.21,1262.4
9433.38,1342.2
9518.62,1329.7
9735.64,1343.7
9907.41,1340
9486.12,1345.5
9360.66,1350
8432.12,1353.7
8616.63,1365
8360.64,1360
8299.86,1376.8
8725.6,1369.6
9056.23,1371.5
9184.51,1369.7
9107,1401
8935.88,1393.9
9036.23,1392.2
8690.36,1395.9
8521.04,1394.8
8226.24,1394.8
8117.79,1393.9
7983.77,1394.5
7280.27,1390.5
7228.4,1392.4
7056.22,1395
8218.66,1396.7
7528.97,1393.7
