Date,Price,Open,High,Low
"Feb 14, 2019",1373.2,1373.2,1373.2,1373.2
"Feb 13, 2019",1374.6,1374.6,1374.6,1374.6
"Feb 12, 2019",1373.2,1373.2,1373.2,1373.2
"Feb 11, 2019",1371.2,1371.2,1371.2,1371.2
"Feb 08, 2019",1377.8,1377.8,1377.8,1377.8
"Feb 07, 2019",1373.6,1373.6,1373.6,1373.6
"Feb 06, 2019",1373.8,1373.8,1373.8,1373.8
"Feb 05, 2019",1378.6,1378.6,1378.6,1378.6
"Feb 04, 2019",1378.3,1378.3,1378.3,1378.3
"Feb 01, 2019",1381.1,1382.6,1382.6,1382.6
"Jan 31, 2019",1384,1384,1384,1384
"Jan 30, 2019",1375.9,1377.6,1377.6,1377.6
"Jan 29, 2019",1375.6,1375.6,1375.6,1375.6
"Jan 28, 2019",1369.8,1369.8,1369.8,1369.8
"Jan 25, 2019",1364,1360,1360,1360
"Jan 24, 2019",1344.9,1344.9,1344.9,1344.9
"Jan 23, 2019",1349.3,1349.3,1349.3,1349.3
"Jan 22, 2019",1348.4,1348.4,1348.4,1348.4
"Jan 21, 2019",1279.05,1281.95,1282.95,1276.15
"Jan 20, 2019",1282.05,1281.3,1282.7,1280.5
"Jan 18, 2019",1348.1,1348.1,1348.1,1348.1
"Jan 17, 2019",1357.9,1357.9,1357.9,1357.9
"Jan 16, 2019",1359.3,1359.3,1359.3,1359.3
"Jan 15, 2019",1353.7,1353.7,1353.7,1353.7
"Jan 14, 2019",1357.2,1357.2,1357.2,1357.2
"Jan 11, 2019",1355.4,1355.4,1355.4,1355.4
"Jan 10, 2019",1353,1353,1353,1353
"Jan 09, 2019",1357.3,1357.3,1357.3,1357.3
"Jan 08, 2019",1351.1,1351.1,1351.1,1351.1
"Jan 07, 2019",1355.2,1355.2,1355.2,1355.2
"Jan 04, 2019",1351,1351.8,1351.8,1351.8
"Jan 03, 2019",1359.8,1359.8,1359.8,1359.8
"Jan 02, 2019",1349.5,1349.5,1349.5,1349.5
"Jan 01, 2019",1283.35,1284.7,1284.75,1282.85
"Dec 31, 2018",1347.1,1347.1,1347.1,1347.1
"Dec 28, 2018",1348.3,1348.3,1348.3,1348.3
"Dec 27, 2018",1346.5,1346.5,1346.5,1346.5
"Dec 26, 2018",1338.3,1343,1343,1343
"Dec 25, 2018",1270.75,1272.5,1274.55,1270.65
"Dec 24, 2018",1337,1337,1337,1337
"Dec 21, 2018",1323.1,1323.1,1323.1,1323.1
"Dec 20, 2018",1333.1,1333.1,1333.1,1333.1
"Dec 19, 2018",1321.3,1321.3,1321.3,1321.3
"Dec 18, 2018",1318.5,1318.5,1318.5,1318.5
"Dec 17, 2018",1317.4,1317.4,1317.4,1317.4
"Dec 14, 2018",1307,1307,1307,1307
"Dec 13, 2018",1313.2,1313.2,1313.2,1313.2
"Dec 12, 2018",1315.8,1315.8,1315.8,1315.8
"Dec 11, 2018",1312.9,1312.9,1312.9,1312.9
"Dec 10, 2018",1314.8,1314.8,1314.8,1314.8
"Dec 07, 2018",1319.5,1319.5,1319.5,1319.5
"Dec 06, 2018",1310.2,1313.9,1313.9,1309.5
"Dec 05, 2018",1309.6,1309.6,1309.6,1309.6
"Dec 04, 2018",1313.6,1313.6,1313.6,1313.6
"Dec 03, 2018",1306.4,1306.4,1306.4,1306.4
"Nov 30, 2018",1292.7,1289.7,1289.7,1289.7
"Nov 29, 2018",1297,1297,1297,1297
"Nov 28, 2018",1296.4,1296.4,1296.4,1296.4
"Nov 27, 2018",1286.5,1286.5,1286.5,1286.5
"Nov 26, 2018",1295.8,1295.8,1295.8,1295.8
"Nov 23, 2018",1296.1,1296.1,1296.1,1296.1
"Nov 22, 2018",1228,1226.4,1229.7,1225.5
"Nov 21, 2018",1300.8,1300.8,1300.8,1300.8
"Nov 20, 2018",1293.4,1293.4,1293.4,1293.4
"Nov 19, 2018",1297.5,1297.5,1297.5,1297.5
"Nov 16, 2018",1294.9,1294.9,1294.9,1294.9
"Nov 15, 2018",1287.6,1287.6,1287.6,1287.6
"Nov 14, 2018",1283.2,1283.2,1283.2,1283.2
"Nov 13, 2018",1274.7,1274.7,1274.7,1274.7
"Nov 12, 2018",1276.8,1276.8,1276.8,1276.8
"Nov 09, 2018",1282.2,1282.2,1282.2,1282.2
"Nov 08, 2018",1299.3,1299.3,1299.3,1299.3
"Nov 07, 2018",1302.8,1302.8,1302.8,1302.8
"Nov 06, 2018",1300.4,1300.4,1300.4,1300.4
"Nov 05, 2018",1306.4,1306.4,1306.4,1306.4
"Nov 02, 2018",1307.3,1307.3,1307.3,1307.3
"Nov 01, 2018",1312.2,1312.2,1312.2,1312.2
"Oct 31, 2018",1288.2,1291.1,1291.1,1291.1
"Oct 30, 2018",1298.9,1296.7,1296.7,1296.7
"Oct 29, 2018",1301.1,1301.1,1301.1,1301.1
"Oct 26, 2018",1309.7,1309.7,1309.7,1309.7
"Oct 25, 2018",1306.7,1306.7,1306.7,1306.7
"Oct 24, 2018",1305.5,1305.5,1305.5,1305.5
"Oct 23, 2018",1312,1312,1312,1312
"Oct 22, 2018",1299.8,1299.8,1299.8,1299.8
"Oct 19, 2018",1303.8,1303.8,1303.8,1303.8
"Oct 18, 2018",1305.1,1305.1,1305.1,1305.1
"Oct 17, 2018",1301.9,1301.9,1301.9,1301.9
"Oct 16, 2018",1305.8,1305.8,1305.8,1305.8
"Oct 15, 2018",1305.4,1305.4,1305.4,1305.4
"Oct 12, 2018",1296.3,1296.3,1296.3,1296.3
"Oct 11, 2018",1302.3,1271.2,1271.2,1271.2
"Oct 10, 2018",1267.7,1267.7,1267.7,1267.7
"Oct 09, 2018",1265.8,1265.8,1265.8,1265.8
"Oct 08, 2018",1262.9,1262.9,1262.9,1262.9
"Oct 05, 2018",1280.2,1280.2,1280.2,1280.2
"Oct 04, 2018",1275.5,1275.5,1275.5,1275.5
"Oct 03, 2018",1276.7,1276.7,1276.7,1276.7
"Oct 02, 2018",1280.7,1280.7,1280.7,1280.7
"Oct 01, 2018",1264.4,1264.4,1264.4,1264.4
"Sep 28, 2018",1268.7,1270,1270,1270
"Sep 27, 2018",1259.8,1260,1260,1260
"Sep 26, 2018",1271.8,1271.8,1271.8,1271.8
"Sep 25, 2018",1278.2,1278.2,1278.2,1278.2
"Sep 24, 2018",1277.4,1277.4,1277.4,1277.4
"Sep 21, 2018",1274.3,1274.3,1274.3,1274.3
"Sep 20, 2018",1284.4,1284.4,1284.4,1284.4
"Sep 19, 2018",1281.5,1281.5,1281.5,1281.5
"Sep 18, 2018",1275.7,1275.7,1275.7,1275.7
"Sep 17, 2018",1278.4,1278.4,1278.4,1278.4
"Sep 14, 2018",1273.8,1273.8,1273.8,1273.8
"Sep 13, 2018",1281,1281,1281,1281
"Sep 12, 2018",1283.9,1269.6,1271,1269.5
"Sep 11, 2018",1274.4,1274.4,1274.4,1274.4
"Sep 10, 2018",1271.6,1271.6,1271.6,1271.6
"Sep 07, 2018",1272.1,1272.1,1272.1,1272.1
"Sep 06, 2018",1275.7,1275.7,1275.7,1275.7
"Sep 05, 2018",1272.6,1266.1,1271.9,1266.1
"Sep 04, 2018",1270.2,1270.2,1270.2,1270.2
"Sep 03, 2018",1206.3,1204.9,1209.6,1201.3
"Sep 02, 2018",1204.9,1206.2,1206.6,1204.5
"Aug 31, 2018",1277.7,1277.7,1277.7,1277.7
"Aug 30, 2018",1276.1,1276.1,1276.1,1276.1
"Aug 29, 2018",1283.3,1283.3,1283.3,1283.3
"Aug 28, 2018",1286.4,1286.4,1286.4,1286.4
"Aug 27, 2018",1288,1288,1288,1288
"Aug 24, 2018",1285,1285,1285,1285
"Aug 23, 2018",1265.2,1265.2,1265.2,1265.2
"Aug 22, 2018",1275.8,1280.2,1280.2,1278.2
"Aug 21, 2018",1272.8,1272.9,1272.9,1272.9
"Aug 20, 2018",1267.5,1266,1266,1266
"Aug 17, 2018",1258.1,1258.1,1258.1,1258.1
"Aug 16, 2018",1258,1258,1258,1258
"Aug 15, 2018",1259.7,1265.8,1265.8,1265.8
"Aug 14, 2018",1275.9,1273.4,1273.4,1273.4
"Aug 13, 2018",1274.1,1274.1,1274.1,1274.1
"Aug 10, 2018",1294.6,1294.6,1294.6,1294.6
"Aug 09, 2018",1295.8,1295.8,1295.8,1295.8
"Aug 08, 2018",1296.8,1296.8,1296.8,1296.8
"Aug 07, 2018",1294.2,1294.2,1294.2,1294.2
"Aug 06, 2018",1293.6,1302.8,1305,1298.6
"Aug 03, 2018",1299.4,1288.8,1298.4,1288.8
"Aug 02, 2018",1296.2,1308,1308,1308
"Aug 01, 2018",1304,1304,1304,1304
"Jul 31, 2018",1309.8,1309.8,1309.8,1309.8
"Jul 30, 2018",1307.7,1306.9,1309.1,1301.9
"Jul 27, 2018",1309,1309,1309,1309
"Jul 26, 2018",1311.5,1311.5,1311.5,1311.5
"Jul 25, 2018",1316.7,1316.7,1316.7,1316.7
"Jul 24, 2018",1310.8,1310.8,1310.8,1310.8
"Jul 23, 2018",1310.7,1307.6,1307.6,1307.6
"Jul 20, 2018",1316.8,1316.8,1316.8,1316.8
"Jul 19, 2018",1310.4,1302,1302,1302
"Jul 18, 2018",1315,1315,1315,1315
"Jul 17, 2018",1314.6,1320,1320,1320
"Jul 16, 2018",1327.5,1327.5,1327.5,1327.5
"Jul 13, 2018",1329,1327,1327,1327
"Jul 12, 2018",1335.2,1335.2,1335.2,1335.2
"Jul 11, 2018",1333.1,1333.1,1333.1,1333.1
"Jul 10, 2018",1344.9,1344.9,1344.9,1344.9
"Jul 09, 2018",1348.8,1348.8,1348.8,1348.8
"Jul 06, 2018",1344.6,1344.6,1344.6,1344.6
"Jul 05, 2018",1347.4,1347.4,1347.4,1347.4
"Jul 04, 2018",1258.1,1256.2,1262.4,1255.3
"Jul 03, 2018",1342.2,1342.2,1342.2,1342.2
"Jul 02, 2018",1329.7,1329.7,1329.7,1329.7
"Jun 29, 2018",1343.7,1343.7,1343.7,1343.7
"Jun 28, 2018",1340,1340,1340,1340
"Jun 27, 2018",1345.5,1345.5,1345.5,1345.5
"Jun 26, 2018",1350,1350,1350,1350
"Jun 25, 2018",1359.6,1353.7,1353.7,1353.7
"Jun 22, 2018",1361.7,1365,1365,1365
"Jun 21, 2018",1361.4,1360,1360,1360
"Jun 20, 2018",1365.7,1376.8,1376.8,1376.8
"Jun 19, 2018",1369.6,1369.6,1369.6,1369.6
"Jun 18, 2018",1371.5,1371.5,1371.5,1371.5
"Jun 15, 2018",1369.7,1369.7,1369.7,1369.7
"Jun 14, 2018",1401,1401,1401,1401
"Jun 13, 2018",1393.9,1393.9,1393.9,1393.9
"Jun 12, 2018",1392.2,1392.2,1392.2,1392.2
"Jun 11, 2018",1395.9,1395.9,1395.9,1395.9
"Jun 08, 2018",1394.8,1394.8,1394.8,1394.8
"Jun 07, 2018",1394.8,1394.8,1394.8,1394.8
"Jun 06, 2018",1393.9,1393.9,1393.9,1393.9
"Jun 05, 2018",1394.5,1394.5,1394.5,1394.5
"Jun 04, 2018",1389.5,1389.6,1390.5,1389.6
"Jun 01, 2018",1390.1,1392.4,1392.4,1392.4
"May 31, 2018",1395,1395,1395,1395
"May 30, 2018",1396.7,1396.7,1396.7,1396.7
"May 29, 2018",1393.7,1393.7,1393.7,1393.7
"May 28, 2018",1297.6,1298.4,1299.7,1294.7
"May 27, 2018",1298.3,1299.8,1299.9,1296.1
"May 25, 2018",1403.2,1403.2,1403.2,1403.2
"May 24, 2018",1404.2,1404.2,1404.2,1404.2
"May 23, 2018",1389.2,1389.2,1389.2,1389.2
"May 22, 2018",1392.1,1392.1,1392.1,1392.1
"May 21, 2018",1391.1,1391.1,1391.1,1391.1
"May 18, 2018",1391.3,1391.3,1391.3,1391.3
"May 17, 2018",1390,1390,1390,1390
"May 16, 2018",1392.1,1392.1,1392.1,1392.1
"May 15, 2018",1389.8,1405.3,1405.3,1405.3
"May 14, 2018",1417.9,1417.9,1417.9,1417.9
"May 11, 2018",1420.4,1420.4,1420.4,1420.4
