_id,time,high,low,open,close
5f5c943ba9115d187c3c8b31,1478304000,706.38,694.03,702.08,702.11
5f5c943ba9115d187c3c8b32,1478390400,714.13,697.63,702.11,709.91
5f5c943ba9115d187c3c8b33,1478476800,711.66,698.35,709.91,705.4
5f5c943ba9115d187c3c8b34,1478563200,714.63,700.96,705.4,710.9
5f5c943ba9115d187c3c8b35,1478649600,741.23,707.13,710.9,721.42
5f5c943ba9115d187c3c8b36,1478736000,723.02,707.31,721.42,714.57
5f5c943ba9115d187c3c8b37,1478822400,719.79,711.67,714.57,714.97
5f5c943ba9115d187c3c8b38,1478908800,717.37,701.08,714.97,704.27
5f5c943ba9115d187c3c8b39,1478995200,705.61,685.01,704.27,701.97
5f5c943ba9115d187c3c8b3a,1479081600,708.03,696.11,701.97,704.56
5f5c943ba9115d187c3c8b3b,1479168000,716.93,697.91,704.56,711.1
5f5c943ba9115d187c3c8b3c,1479254400,745.98,708.14,711.1,740.28
5f5c943ba9115d187c3c8b3d,1479340800,751.91,730.08,740.28,737.53
5f5c943ba9115d187c3c8b3e,1479427200,751.43,730.95,737.53,746.96
5f5c943ba9115d187c3c8b3f,1479513600,755.34,737.44,746.96,747.89
5f5c943ba9115d187c3c8b40,1479600000,752.26,712.77,747.89,728.51
5f5c943ba9115d187c3c8b41,1479686400,744.33,726.55,728.51,736.19
5f5c943ba9115d187c3c8b42,1479772800,754.01,730.62,736.19,749.34
5f5c943ba9115d187c3c8b43,1479859200,750.93,731.34,749.34,741.07
5f5c943ba9115d187c3c8b44,1479945600,744.24,726.19,741.07,735.31
5f5c943ba9115d187c3c8b45,1480032000,741.25,728.97,735.31,740.39
5f5c943ba9115d187c3c8b46,1480118400,740.96,725.62,740.39,734.14
5f5c943ba9115d187c3c8b47,1480204800,738.29,727.11,734.14,729.42
5f5c943ba9115d187c3c8b48,1480291200,738.1,727.74,729.42,733.3
5f5c943ba9115d187c3c8b49,1480377600,737.04,727.78,733.3,732.56
5f5c943ba9115d187c3c8b4a,1480464000,745.39,730.57,732.56,742.49
5f5c943ba9115d187c3c8b4b,1480550400,755.48,741.08,742.49,752.63
5f5c943ba9115d187c3c8b4c,1480636800,779.02,752.25,752.63,770.94
5f5c943ba9115d187c3c8b4d,1480723200,772.32,755.81,770.94,764.24
5f5c943ba9115d187c3c8b4e,1480809600,769.23,758.8,764.24,766.39
5f5c943ba9115d187c3c8b4f,1480896000,769.18,746.01,766.39,754.34
5f5c943ba9115d187c3c8b50,1480982400,762.48,750.91,754.34,758.21
5f5c943ba9115d187c3c8b51,1481068800,769.02,754.27,758.21,765.56
5f5c943ba9115d187c3c8b52,1481155200,773.41,761.17,765.56,768.49
5f5c943ba9115d187c3c8b53,1481241600,773.48,765.03,768.49,770.48
5f5c943ba9115d187c3c8b54,1481328000,776.96,769.19,770.48,774
5f5c943ba9115d187c3c8b55,1481414400,774.16,763,774,767.91
5f5c943ba9115d187c3c8b56,1481500800,781.26,767.86,767.91,778.47
5f5c943ba9115d187c3c8b57,1481587200,790.33,767.77,778.47,778.74
5f5c943ba9115d187c3c8b58,1481673600,780.77,771.01,778.74,776.5
5f5c943ba9115d187c3c8b59,1481760000,780.27,773.12,776.5,775.21
5f5c943ba9115d187c3c8b5a,1481846400,783.94,773.31,775.21,782.05
5f5c943ba9115d187c3c8b5b,1481932800,791.57,779.36,782.05,787.17
5f5c943ba9115d187c3c8b5c,1482019200,791.26,783.8,787.17,789.01
5f5c943ba9115d187c3c8b5d,1482105600,793.73,786.31,789.01,789.79
5f5c943ba9115d187c3c8b5e,1482192000,800.02,787.12,789.79,799.1
5f5c943ba9115d187c3c8b5f,1482278400,833.13,795.98,799.1,829.21
5f5c943ba9115d187c3c8b60,1482364800,874.68,828.87,829.21,860.15
5f5c943ba9115d187c3c8b61,1482451200,920.26,858.04,860.15,917.17
5f5c943ba9115d187c3c8b62,1482537600,920.49,880.79,917.17,891.07
5f5c943ba9115d187c3c8b63,1482624000,895.24,851.42,891.07,891.07
5f5c943ba9115d187c3c8b64,1482710400,909.32,885.88,891.07,898.38
5f5c943ba9115d187c3c8b65,1482796800,937.91,893.38,898.38,925.78
5f5c943ba9115d187c3c8b66,1482883200,974.51,925.49,925.78,972.17
5f5c943ba9115d187c3c8b67,1482969600,982.57,949.23,972.17,971.08
5f5c943ba9115d187c3c8b68,1483056000,971.59,927.4,971.08,959.04
5f5c943ba9115d187c3c8b69,1483142400,965.47,942.4,959.04,963.38
5f5c943ba9115d187c3c8b6a,1483228800,1001.61,956.1,963.38,995.44
5f5c943ba9115d187c3c8b6b,1483315200,1031.68,990.2,995.44,1017.05
5f5c943ba9115d187c3c8b6c,1483401600,1035.47,1006.53,1017.05,1033.3
5f5c943ba9115d187c3c8b6d,1483488000,1148.54,1022.32,1033.3,1135.41
5f5c943ba9115d187c3c8b6e,1483574400,1150.63,874.53,1135.41,989.35
5f5c943ba9115d187c3c8b6f,1483660800,1027.42,852.55,989.35,886.16
5f5c943ba9115d187c3c8b70,1483747200,900.86,806.66,886.16,888.87
5f5c943ba9115d187c3c8b71,1483833600,936.13,875.85,888.87,900.86
5f5c943ba9115d187c3c8b72,1483920000,910.47,870.91,900.86,899.78
5f5c943ba9115d187c3c8b73,1484006400,911.32,890.12,899.78,904.37
5f5c943ba9115d187c3c8b74,1484092800,917.65,751.63,904.37,785.43
5f5c943ba9115d187c3c8b75,1484179200,828.21,739.55,785.43,810.11
5f5c943ba9115d187c3c8b76,1484265600,835.05,771,810.11,824.83
5f5c943ba9115d187c3c8b77,1484352000,838.9,808.27,824.83,819.63
5f5c943ba9115d187c3c8b78,1484438400,826.43,808.63,819.63,821.17
5f5c943ba9115d187c3c8b79,1484524800,836.66,817.7,821.17,827.34
5f5c943ba9115d187c3c8b7a,1484611200,906.38,825.04,827.34,899.66
5f5c943ba9115d187c3c8b7b,1484697600,913.67,845.87,899.66,872.03
5f5c943ba9115d187c3c8b7c,1484784000,905.28,870.71,872.03,895.21
5f5c943ba9115d187c3c8b7d,1484870400,901.49,878.9,895.21,892.91
5f5c943ba9115d187c3c8b7e,1484956800,928.93,889.46,892.91,919.84
5f5c943ba9115d187c3c8b7f,1485043200,938.38,888.62,919.84,918.84
5f5c943ba9115d187c3c8b80,1485129600,927.98,910.85,918.84,921.46
5f5c943ba9115d187c3c8b81,1485216000,925.61,889.15,921.46,893.75
5f5c943ba9115d187c3c8b82,1485302400,905.7,883.63,893.75,894.41
5f5c943ba9115d187c3c8b83,1485388800,919.32,893.49,894.41,915.56
5f5c943ba9115d187c3c8b84,1485475200,922.56,907.92,915.56,918.01
5f5c943ba9115d187c3c8b85,1485561600,921.89,912.84,918.01,918.51
5f5c943ba9115d187c3c8b86,1485648000,922.4,912.68,918.51,914.55
5f5c943ba9115d187c3c8b87,1485734400,922.35,911.51,914.55,920.73
5f5c943ba9115d187c3c8b88,1485820800,967.45,917.38,920.73,965.49
5f5c943ba9115d187c3c8b89,1485907200,986.57,959.82,965.49,982.43
5f5c943ba9115d187c3c8b8a,1485993600,1009.13,973.5,982.43,1003.97
5f5c943ba9115d187c3c8b8b,1486080000,1023.72,989.21,1003.97,1013.02
5f5c943ba9115d187c3c8b8c,1486166400,1041.04,1000.41,1013.02,1031.85
5f5c943ba9115d187c3c8b8d,1486252800,1033.66,1004.05,1031.85,1016.11
5f5c943ba9115d187c3c8b8e,1486339200,1030.6,1010.83,1016.11,1024.67
5f5c943ba9115d187c3c8b8f,1486425600,1054.1,1019.87,1024.67,1049.56
5f5c943ba9115d187c3c8b90,1486512000,1069.23,1020.33,1049.56,1055.49
5f5c943ba9115d187c3c8b91,1486598400,1073.03,924.65,1055.49,978.96
5f5c943ba9115d187c3c8b92,1486684800,1005.6,947.02,978.96,997.61
5f5c943ba9115d187c3c8b93,1486771200,1014.32,983.93,997.61,1008.32
5f5c943ba9115d187c3c8b94,1486857600,1007.82,992.45,1008.32,996.52
5f5c943ba9115d187c3c8b95,1486944000,1007.61,975.1,996.52,995.36
5f5c943ba9115d187c3c8b96,1487030400,1013.8,986.46,995.36,1008.34
5f5c943ba9115d187c3c8b97,1487116800,1010.93,999.73,1008.34,1008.19
5f5c943ba9115d187c3c8b98,1487203200,1040.28,1007.39,1008.19,1031.93
5f5c943ba9115d187c3c8b99,1487289600,1057.39,1025.87,1031.93,1049.41
5f5c943ba9115d187c3c8b9a,1487376000,1063.21,1044.68,1049.41,1052.28
5f5c943ba9115d187c3c8b9b,1487462400,1056.48,1037.67,1052.28,1048.89
5f5c943ba9115d187c3c8b9c,1487548800,1081.78,1040.99,1048.89,1077.56
5f5c943ba9115d187c3c8b9d,1487635200,1123.03,1073.54,1077.56,1119.03
5f5c943ba9115d187c3c8b9e,1487721600,1132.25,1094.83,1119.03,1120.46
5f5c943ba9115d187c3c8b9f,1487808000,1181.6,1113.54,1120.46,1171.91
5f5c943ba9115d187c3c8ba0,1487894400,1211.74,1092.41,1171.91,1176.49
5f5c943ba9115d187c3c8ba1,1487980800,1180.01,1116.21,1176.49,1149.05
5f5c943ba9115d187c3c8ba2,1488067200,1177.47,1130.61,1149.05,1171.58
5f5c943ba9115d187c3c8ba3,1488153600,1195.82,1164.27,1171.58,1188.83
5f5c943ba9115d187c3c8ba4,1488240000,1208.22,1175.75,1188.83,1189.27
5f5c943ba9115d187c3c8ba5,1488326400,1225.04,1154.55,1189.27,1222.66
5f5c943ba9115d187c3c8ba6,1488412800,1286.98,1211.96,1222.66,1255.47
5f5c943ba9115d187c3c8ba7,1488499200,1291.35,1250.8,1255.47,1283.3
5f5c943ba9115d187c3c8ba8,1488585600,1285.78,1228.73,1283.3,1264.32
5f5c943ba9115d187c3c8ba9,1488672000,1273.28,1242.1,1264.32,1271.22
5f5c943ba9115d187c3c8baa,1488758400,1280.61,1261,1271.22,1277.01
5f5c943ba9115d187c3c8bab,1488844800,1280.89,1148.66,1277.01,1232.69
5f5c943ba9115d187c3c8bac,1488931200,1242.04,1136.88,1232.69,1146.97
5f5c943ba9115d187c3c8bad,1489017600,1206.97,1129.35,1146.97,1191.33
5f5c943ba9115d187c3c8bae,1489104000,1330.42,988.69,1191.33,1112.39
5f5c943ba9115d187c3c8baf,1489190400,1202.69,1104.78,1112.39,1179.22
5f5c943ba9115d187c3c8bb0,1489276800,1235.46,1160.9,1179.22,1225.11
5f5c943ba9115d187c3c8bb1,1489363200,1245.63,1205.61,1225.11,1238.19
5f5c943ba9115d187c3c8bb2,1489449600,1255.52,1218.38,1238.19,1243.14
5f5c943ba9115d187c3c8bb3,1489536000,1256.95,1236.43,1243.14,1253.43
5f5c943ba9115d187c3c8bb4,1489622400,1260.24,1118.96,1253.43,1172.88
5f5c943ba9115d187c3c8bb5,1489708800,1174.9,1063.48,1172.88,1071.71
5f5c943ba9115d187c3c8bb6,1489795200,1103.61,940.18,1071.71,971.38
5f5c943ba9115d187c3c8bb7,1489881600,1063.67,967.31,971.38,1022.6
5f5c943ba9115d187c3c8bb8,1489968000,1057.5,1005.05,1022.6,1047.51
5f5c943ba9115d187c3c8bb9,1490054400,1125.53,1043.87,1047.51,1121.29
5f5c943ba9115d187c3c8bba,1490140800,1121.88,997.78,1121.29,1044.72
5f5c943ba9115d187c3c8bbb,1490227200,1062.79,1022.02,1044.72,1035.03
5f5c943ba9115d187c3c8bbc,1490313600,1038.38,927.35,1035.03,939.7
5f5c943ba9115d187c3c8bbd,1490400000,995.96,890.43,939.7,966.3
5f5c943ba9115d187c3c8bbe,1490486400,1004.32,946.65,966.3,969.44
5f5c943ba9115d187c3c8bbf,1490572800,1048.85,961.8,969.44,1045.14
5f5c943ba9115d187c3c8bc0,1490659200,1068.41,1015.45,1045.14,1044.42
5f5c943ba9115d187c3c8bc1,1490745600,1058.66,1008.34,1044.42,1041.9
5f5c943ba9115d187c3c8bc2,1490832000,1052.66,1020.93,1041.9,1037.91
5f5c943ba9115d187c3c8bc3,1490918400,1088.2,1035.18,1037.91,1079.11
